Correlation with data: 0.846
Max Correlation: 0.900
MOTIF	ID	Similarity	Redundancy	Weight	Z	Error
NFkB-p65	1043	0.928	0.289	1.01	6.450	0.089
ISRE	1091	0.896	0.359	1.08	7.266	0.066
FOS	1363	0.944	0.259	0.95	5.830	0.062
RUNX1	992	0.954	0.454	1.14	6.296	0.036
ETS1	831	0.955	0.278	0.86	3.006	0.034
RUNX	998	0.906	0.454	0.93	5.662	0.032
Pou2f3	170	0.954	0.267	0.64	3.390	0.031
Mef2a	919	0.882	0.378	1.13	1.079	0.031
EBF1	825	0.971	0.289	0.62	3.323	0.030
Sfpi1	582	0.916	0.428	0.53	5.012	0.029
Pax8	960	0.753	0.152	1.80	1.630	0.028
PU.1	978	0.824	0.428	0.57	4.753	0.026
USF	695	0.792	0.230	1.25	2.425	0.023
COUP-TFII	1171	0.794	0.331	1.51	1.662	0.020
Rbpj1	1020	0.599	0.239	1.03	0.769	0.020
bZIP:IRF	955	0.868	0.287	0.45	3.130	0.018
IRF2	28	0.691	0.359	0.53	2.141	0.017
KLF14	1213	0.843	0.214	0.57	1.424	0.016
EVI1	100	0.519	0.378	1.41	0.078	0.015
PU.1-IRF	1118	0.804	0.294	0.31	3.638	0.015
Neg1	-	-	-	-2.098	-1.55	0.068
Neg2	-	-	-	-1.401	-2.21	0.042
Neg3	-	-	-	-1.589	-3.37	0.036
Neg4	-	-	-	-1.538	-1.50	0.035
Neg5	-	-	-	-1.890	-3.59	0.034
Neg6	-	-	-	-1.723	-2.55	0.033
Neg7	-	-	-	-1.204	-1.73	0.029
Neg8	-	-	-	-1.276	0.84	0.027
Neg9	-	-	-	-1.097	-2.64	0.018
Neg10	-	-	-	-1.152	-2.06	0.018
