Correlation with data: 0.849
Max Correlation: 0.900
MOTIF	ID	Similarity	Redundancy	Weight	Z	Error
NFKB1	844	0.947	0.389	1.74	6.398	0.102
FOS	1363	0.938	0.367	1.54	5.747	0.079
Hbp1	334	0.761	0.497	11.26	-0.634	0.071
SpiB	1105	0.961	0.359	1.22	5.292	0.060
EBF1	825	0.941	0.481	2.01	3.194	0.054
POU2F2	851	0.952	0.463	1.53	3.285	0.048
NFATC2	1613	0.677	0.321	3.67	0.840	0.048
MEF2	841	0.914	0.497	3.67	0.630	0.046
RUNX1	856	0.935	0.500	1.89	5.254	0.046
ETS1	831	0.959	0.359	1.30	4.084	0.041
bZIP:IRF	955	0.910	0.319	1.09	4.383	0.038
IRF1	1505	0.797	0.544	1.40	3.079	0.038
PU.1:IRF8	1217	0.969	0.409	0.88	6.384	0.035
GC	516	0.896	0.481	1.93	1.119	0.033
RUNX1	992	0.953	0.500	1.21	6.504	0.033
Tbet	1113	0.616	0.513	2.54	2.047	0.032
TBX21	1851	0.695	0.513	2.41	1.781	0.027
USF	695	0.829	0.290	1.89	1.762	0.027
COUP-TFII	1171	0.790	0.466	2.04	2.019	0.025
ISRE	1091	0.826	0.544	1.28	5.775	0.024
Neg1	-	-	-	-4.462	-0.79	0.082
Neg2	-	-	-	-4.464	-0.64	0.070
Neg3	-	-	-	-4.503	-1.75	0.070
Neg4	-	-	-	-5.692	0.04	0.061
Neg5	-	-	-	-3.500	-1.08	0.057
Neg6	-	-	-	-3.676	-3.27	0.053
Neg7	-	-	-	-4.285	-1.89	0.048
Neg8	-	-	-	-2.550	-1.25	0.045
Neg9	-	-	-	-2.919	-1.70	0.037
Neg10	-	-	-	-4.900	-0.37	0.034
