Correlation with data: 0.849
Max Correlation: 0.900
MOTIF	ID	Similarity	Redundancy	Weight	Z	Error
NFKB1	844	0.947	0.425	1.76	6.374	0.097
FOS	1363	0.939	0.372	1.60	5.704	0.082
Hbp1	334	0.742	0.557	9.94	-0.312	0.064
Sfpi1	582	0.954	0.366	1.26	5.500	0.051
POU2F2	851	0.954	0.473	1.63	3.372	0.050
NFE2L1:MafG	732	0.873	0.557	3.92	1.696	0.048
EBF1	825	0.947	0.445	1.62	3.219	0.048
MEF2	841	0.907	0.525	3.67	0.883	0.047
PU1	853	0.802	0.468	1.04	4.836	0.043
ETS1	831	0.955	0.366	1.30	4.238	0.041
Tgif1	1168	0.754	0.377	2.86	1.741	0.038
RUNX1	856	0.924	0.445	1.60	4.987	0.038
bZIP:IRF	955	0.913	0.374	1.19	4.227	0.038
GC	516	0.894	0.445	2.28	1.163	0.037
PU.1:IRF8	1217	0.947	0.403	0.89	6.053	0.033
NFATC1	1612	0.731	0.425	2.76	1.196	0.032
ISRE	1091	0.861	0.468	1.38	6.793	0.032
FIGLA	1361	0.860	0.272	1.75	1.733	0.027
RUNX	998	0.868	0.445	1.61	5.304	0.026
RUNX1	992	0.935	0.420	0.99	5.961	0.025
Neg1	-	-	-	-4.045	-1.16	0.076
Neg2	-	-	-	-4.093	-1.30	0.069
Neg3	-	-	-	-5.777	-0.01	0.069
Neg4	-	-	-	-4.723	-0.18	0.068
Neg5	-	-	-	-3.656	-0.81	0.062
Neg6	-	-	-	-3.664	-3.09	0.053
Neg7	-	-	-	-2.535	-1.44	0.045
Neg8	-	-	-	-3.853	-1.76	0.041
Neg9	-	-	-	-5.012	-0.28	0.037
Neg10	-	-	-	-2.803	-1.94	0.034
