Minimum PWM Length:	10
Minimum PWM Information:	0.500000
Correlation with SVM weights:	0.665239
Cluster ID	Motif ID	Motif Name	Regression Weight	Z-score	Importance
1	1217	PU.1:IRF8	0.377	6.334	0.237
1	1118	PU.1-IRF	0.377	6.334	0.237
2	1091	ISRE	0.257	6.318	0.079
2	1505	MA0050.2 IRF1	0.257	6.318	0.079
2	914	IRF1	0.257	6.318	0.079
3	992	RUNX1	1.000	6.207	1.000
3	1008	RUNX2	1.000	6.207	1.000
3	998	RUNX	1.000	6.207	1.000
3	1044	RUNX-AML	1.000	6.207	1.000
3	601	MA0002.2 RUNX1	1.000	6.207	1.000
3	1774	MA0002.2 RUNX1	1.000	6.207	1.000
4	844	NFKB1	0.628	5.949	0.600
4	1043	NFkB-p65	0.628	5.949	0.600
4	324	MA0061.1 NF-kappaB	0.628	5.949	0.600
4	322	V_NFKAPPAB_01	0.628	5.949	0.600
4	567	V_CREL_01	0.628	5.949	0.600
4	200	V_NFKB_Q6	0.628	5.949	0.600
4	1757	MA0101.1 REL	0.628	5.949	0.600
4	597	MA0101.1 REL	0.628	5.949	0.600
4	92	V_NFKB_C	0.628	5.949	0.600
4	185	V_NFKAPPAB65_01	0.628	5.949	0.600
4	184	MA0107.1 RELA	0.628	5.949	0.600
4	1758	MA0107.1 RELA	0.628	5.949	0.600
4	933	NFkB-p65-Rel	0.628	5.949	0.600
5	1259	MA0835.2 BATF3	0.620	5.754	0.429
5	1258	MA0462.2 BATF::JUN	0.620	5.754	0.429
5	1257	MA1634.1 BATF	0.620	5.754	0.429
5	1096	BATF	0.620	5.754	0.429
5	1374	MA1137.1 FOSL1::JUNB	0.620	5.754	0.429
5	1790	MA1622.1 Smad2::Smad3	0.620	5.754	0.429
5	1523	MA0490.2 JUNB	0.620	5.754	0.429
5	1367	MA1141.1 FOS::JUND	0.620	5.754	0.429
5	1372	MA1128.1 FOSL1::JUN	0.620	5.754	0.429
5	1106	Fra1	0.620	5.754	0.429
5	1380	MA1138.1 FOSL2::JUNB	0.620	5.754	0.429
5	1375	MA1142.1 FOSL1::JUND	0.620	5.754	0.429
5	1366	MA1134.1 FOS::JUNB	0.620	5.754	0.429
5	1369	MA1135.1 FOSB::JUNB	0.620	5.754	0.429
5	1382	MA1144.1 FOSL2::JUND	0.620	5.754	0.429
5	1371	MA0477.2 FOSL1	0.620	5.754	0.429
5	1378	MA1130.1 FOSL2::JUN	0.620	5.754	0.429
5	1029	Fosl2	0.620	5.754	0.429
5	1364	MA0099.3 FOS::JUN	0.620	5.754	0.429
5	895	AP-1	0.620	5.754	0.429
5	1520	MA1132.1 JUN::JUNB	0.620	5.754	0.429
5	1525	MA0491.2 JUND	0.620	5.754	0.429
5	1522	MA0489.1 JUN(var.2)	0.620	5.754	0.429
5	1128	Atf3	0.620	5.754	0.429
5	1039	Jun-AP1	0.620	5.754	0.429
5	1363	MA0476.1 FOS	0.620	5.754	0.429
5	306	Jundm2_secondary	0.620	5.754	0.429
5	813	AP1	0.620	5.754	0.429
5	1377	MA0478.1 FOSL2	0.620	5.754	0.429
5	701	V_AP1_Q6	0.620	5.754	0.429
5	1205	Fra2	0.620	5.754	0.429
5	1616	MA0841.1 NFE2	0.620	5.754	0.429
5	660	V_AP1_01	0.620	5.754	0.429
5	79	V_BACH1_01	0.620	5.754	0.429
5	1251	MA1101.2 BACH2	0.620	5.754	0.429
5	607	V_AP1_Q4	0.620	5.754	0.429
5	594	V_AP1_Q2	0.620	5.754	0.429
5	650	V_AP1FJ_Q2	0.620	5.754	0.429
6	993	IRF4	0.941	5.392	0.161
7	955	bZIP:IRF	0.428	4.251	0.099
7	1173	IRF:BATF	0.428	4.251	0.099
8	1076	Oct4	0.273	3.405	0.153
8	1714	MA0507.1 POU2F2	0.273	3.405	0.153
8	1081	Oct2	0.273	3.405	0.153
8	1715	MA0627.2 POU2F3	0.273	3.405	0.153
8	1723	MA1115.1 POU5F1	0.273	3.405	0.153
8	95	V_OCT_C	0.273	3.405	0.153
8	851	POU2F2	0.273	3.405	0.153
8	170	Pou2f3_3986.2	0.273	3.405	0.153
8	215	Pou2f2_3748.1	0.273	3.405	0.153
8	1713	MA0785.1 POU2F1	0.273	3.405	0.153
8	68	V_OCT1_01	0.273	3.405	0.153
8	1716	MA0786.1 POU3F1	0.273	3.405	0.153
8	1717	MA0787.1 POU3F2	0.273	3.405	0.153
8	1712	MA0784.1 POU1F1	0.273	3.405	0.153
8	1718	MA0788.1 POU3F3	0.273	3.405	0.153
9	24	V_IRF2_01	0.039	3.385	0.006
9	44	V_IRF1_01	0.039	3.385	0.006
10	825	EBF1	0.167	3.236	0.040
10	1144	EBF1	0.167	3.236	0.040
10	1319	MA0154.4 EBF1	0.167	3.236	0.040
10	512	MA0154.1 EBF1	0.167	3.236	0.040
10	1060	EBF	0.167	3.236	0.040
10	1320	MA1604.1 Ebf2	0.167	3.236	0.040
10	1321	MA1637.1 EBF3	0.167	3.236	0.040
11	86	V_ELK1_01	0.257	2.699	0.076
12	942	ETS:RUNX	0.152	2.669	0.063
13	1033	EWS:FLI1-fusion	0.271	2.048	0.066
13	1012	EWS:ERG-fusion	0.271	2.048	0.066
14	1074	T1ISRE	0.055	2.041	0.013
15	976	PAX3:FKHR-fusion	0.143	1.729	0.023
16	1905	MA0093.3 USF1	0.195	1.727	0.070
16	898	MITF	0.195	1.727	0.070
16	1906	MA0526.3 USF2	0.195	1.727	0.070
16	911	Usf2	0.195	1.727	0.070
16	1579	MA0620.3 MITF	0.195	1.727	0.070
16	1887	MA0692.1 TFEB	0.195	1.727	0.070
16	695	V_USF_02	0.195	1.727	0.070
16	934	E-box	0.195	1.727	0.070
16	882	USF	0.195	1.727	0.070
16	1888	MA0871.2 TFEC	0.195	1.727	0.070
16	158	V_ARNT_02	0.195	1.727	0.070
16	397	V_USF_01	0.195	1.727	0.070
16	1042	USF1	0.195	1.727	0.070
16	1584	MA0664.1 MLXIPL	0.195	1.727	0.070
16	263	Bhlhb2_primary	0.195	1.727	0.070
16	901	Max	0.195	1.727	0.070
