Correlation with SVM weight vector:	0.680
Max PWM Correlation:	0.900
MOTIF	ID	Similarity	Redundancy	Weight	Z	Error
IRF4	993	0.895	0.424	0.45	9.591	0.637
PU.1:IRF8	1217	0.950	0.424	0.25	8.976	0.413
RUNX	998	0.937	0.489	0.59	8.682	0.638
NFKB1	844	0.965	0.467	0.31	8.629	0.569
EHF	1326	0.932	0.440	0.51	8.544	1.000
BATF	1096	0.944	0.453	0.22	7.706	0.379
RELB	1759	0.838	0.479	0.38	7.504	0.335
RUNX1	856	0.934	0.489	0.39	5.314	0.290
EBF1	825	0.937	0.358	0.22	5.019	0.263
POU2F3	1715	0.962	0.379	0.32	4.863	0.361
V_TCF11_01	696	0.880	0.486	0.49	3.964	0.229
Eomes_primary	279	0.786	0.176	0.32	3.708	0.169
IRF2	1101	0.747	0.322	0.46	3.578	0.246
Mef2c	1090	0.954	0.785	0.78	2.861	0.381
Pax8	960	0.758	0.179	1.00	2.232	0.402
SPIB	690	0.764	0.440	-0.64	-0.744	0.385
V_YY1_01	725	0.568	0.637	-0.63	-1.010	0.280
Hoxd10_2368.2	500	0.709	0.785	-0.86	-1.459	0.505
ETS1	753	0.791	0.434	-0.85	-1.773	0.409
NFATC2	647	0.723	0.344	-0.70	-2.485	0.305
TEAD	1150	0.794	0.434	-0.96	-2.662	0.531
UA3	875	0.814	0.479	-0.67	-2.907	0.487
